t_index	term	df
1	0for5	1
2	100000strong	2
3	10000seat	5
4	1000yearold	1
5	100degre	1
6	101mile	1
7	101milelong	1
8	106th	1
9	107th	2
10	10day	1
11	10minut	1
12	10monthlong	1
13	10page	2
14	10peopl	1
15	10stori	1
16	10th	13
17	10year	12
18	10yearold	4
19	110degre	1
20	113yearold	1
21	116yearold	6
22	118man	1
23	1199seiu	1
24	11judg	1
25	11member	1
26	11percentag	1
27	11th	8
28	11yearold	2
29	120member	1
30	120seat	6
31	128player	1
32	12gaug	1
33	12hour	1
34	12inch	1
35	12mile	2
36	12milelong	2
37	12stori	1
38	12strong	1
39	12th	15
40	12thseed	1
41	12year	5
42	12yearold	19
43	138page	2
44	139countri	1
45	13day	1
46	13match	1
47	13th	9
48	13thseed	1
49	13year	13
50	145mile	1
51	14650ton	1
52	146th	1
53	14th	2
54	14thseed	1
55	14year	3
56	14yearold	3
57	150000plu	1
58	15000seat	1
59	1500foot	5
60	1500mile	2
61	15foothigh	3
62	15hour	5
63	15minut	6
64	15month	1
65	15nation	2
66	15seed	2
67	15th	5
68	15thseed	1
69	15yearold	1
70	16inch	1
71	16member	2
72	16page	1
73	16th	2
74	16thseed	1
75	16year	1
76	16yearold	8
77	17th	1
78	17yearold	11
79	18002hunger	1
80	1800424adra	1
81	1800521care	1
82	180055crwrc	1
83	180077oxfam	1
84	1800forkid	1
85	1800helpnow	2
86	1800lwrlwr2	1
87	1800sponsor	1
88	188856child	1
89	18footdeep	2
90	18member	1
91	18monthold	5
92	18parti	9
93	18th	2
94	18year	1
95	18yearold	10
96	19minut	1
97	19th	1
98	19yearold	12
99	1hour	3
100	1rank	1
101	1st	1
102	1yearold	2
103	2000foot	2
104	20footby40foot	2
105	20minut	1
106	20page	1
107	20percentag	1
108	20th	8
109	20thcenturi	1
110	20to40foot	1
111	20year	9
112	20yearold	10
113	21foot	1
114	21gun	2
115	21nation	1
116	21st	3
117	21stcenturi	1
118	21yearold	1
119	220megawatt	2
120	22match	3
121	22member	3
122	22nd	5
123	22yearold	11
124	23rd	1
125	23yearold	9
126	246day	1
127	24carat	1
128	24citi	1
129	24hour	1
130	24th	8
131	24yearold	10
132	250member	2
133	25foot	1
134	25th	6
135	25yearold	1
136	26yearold	1
137	27yearold	6
138	28th	1
139	28yearold	1
140	293strong	3
141	29yearold	3
142	2hour	3
143	2nd	3
144	2seed	1
145	2storey	1
146	2yearold	7
147	300yardswid	1
148	30andov	1
149	30by40foot	2
150	30hour	1
151	30minut	1
152	30straight	1
153	30year	1
154	30yearold	9
155	31st	1
156	31yearold	3
157	33footlong	1
158	33rd	1
159	34foot	2
160	34yearold	2
161	350bed	1
162	357calib	2
163	35magnitud	1
164	35year	3
165	35yearold	1
166	38th	2
167	38yearold	4
168	39yearold	4
169	3day	1
170	3foothigh	1
171	3rd	9
172	3to2	1
173	3yearold	4
174	40bed	1
175	40by40	2
176	40by40feet	1
177	40by40foot	13
178	40foot	9
179	40footby40foot	2
180	40footlong	1
181	40man	1
182	40member	1
183	40page	1
184	40th	1
185	40yearold	6
186	41st	1
187	41yearold	4
188	42day	1
189	43rd	7
190	43yearold	1
191	44yearold	4
192	47minut	2
193	47yearold	1
194	48hour	1
195	48inch	2
196	48th	1
197	4all	2
198	4point	3
199	4seed	1
200	4time	1
201	4yearold	9
202	500footlong	1
203	500year	1
204	505foot	10
205	505footlong	1
206	50calib	1
207	50minut	1
208	50year	3
209	50yearold	2
210	51st	2
211	51yearold	1
212	52nd	1
213	54th	1
214	54yearold	7
215	55degre	1
216	55minut	2
217	55year	8
218	55yearold	4
219	56000ton	1
220	56yearold	7
221	57yearold	1
222	584foot	1
223	58year	1
224	5foot2	5
225	5foot8inch	1
226	5footlong	1
227	5th	24
228	5yearold	6
229	6000mile	1
230	600acr	1
231	600th	1
232	60foot	1
233	60mile	1
234	60squaremil	1
235	62yearold	11
236	64yearold	3
237	66yearold	4
238	67member	1
239	67yearold	1
240	683rd	1
241	68yearold	3
242	69magnitud	1
243	6all	1
244	6love	1
245	6th	1
246	700000member	1
247	70yearold	1
248	72yearold	1
249	75horsepow	1
250	75yearold	3
251	76magnitud	9
252	78day	4
253	79magnitud	5
254	79yearold	2
255	7foot	1
256	7th	2
257	7yearold	1
258	8000ton	1
259	80yearold	2
260	81yearold	3
261	8300ton	1
262	85magnitud	4
263	8600ton	8
264	86th	2
265	8monthold	1
266	8seed	1
267	8th	5
268	8yearold	2
269	90degre	1
270	9100ton	2
271	92nd	1
272	93degre	2
273	95degre	1
274	97yearold	1
275	99day	1
276	99year	1
277	99yearold	1
278	9point	1
279	9th	3
280	9yearold	1
281	aan	1
282	aaron	2
283	ab	1
284	aback	1
285	abahd	1
286	abandon	37
287	abat	1
288	abc	49
289	abccom	1
290	abcnewscom	3
291	abdallah	2
292	abdel	3
293	abdomin	2
294	abduct	2
295	abdul	5
296	abdulkarim	11
297	abdullah	40
298	abdurahman	1
299	aberr	1
300	abhad	1
301	abhiyan	1
302	abhorr	2
303	abid	7
304	abidjan	36
305	abijan	1
306	abil	32
307	abl	105
308	ablaz	3
309	abnorm	1
310	aboard	93
311	abobo	3
312	abolish	4
313	abomin	1
314	abort	7
315	abou	1
316	abound	4
317	abov	43
318	abovo	1
319	abraham	10
320	abreast	1
321	abrego	1
322	abroad	52
323	abrog	2
324	abrupt	1
325	abruptli	4
326	abscam	1
327	absenc	6
328	absent	4
329	absente	7
330	absentia	3
331	absolut	43
332	absorb	9
333	abstain	1
334	abstent	1
335	absurd	2
336	abu	7
337	abund	2
338	abus	28
339	abuseofpow	1
340	abuzaakouk	1
341	abyan	1
342	abyssinian	1
343	academ	6
344	academi	4
345	academia	1
346	acced	1
347	acceler	4
348	accent	2
349	accentu	2
350	accept	124
351	access	41
352	accid	32
353	accident	3
354	accommod	11
355	accompani	33
356	accomplic	5
357	accomplish	10
358	accord	145
359	accordingli	1
360	accordion	1
361	account	125
362	accredit	1
363	accumul	2
364	accur	14
365	accuraci	1
366	accus	131
367	accustom	2
368	ace	27
369	acerb	2
370	achiev	31
371	acid	2
372	acknowledg	55
373	acolyt	1
374	acosta	1
375	acquaint	1
376	acquiesc	1
377	acquir	5
378	acquisit	1
379	acquit	5
380	acquitt	3
381	acrimoni	2
382	acrobat	5
383	acronym	1
384	across	119
385	acrosstheboard	1
386	act	135
387	action	94
388	actionc	1
389	activ	89
390	activist	19
391	actor	4
392	actress	2
393	actual	66
394	ad	119
395	adam	8
