138
t_index	tf-idf
296	0.099337
403	0.080694
466	0.136888
616	0.298011
684	0.035886
776	0.068444
898	0.059072
899	0.069404
967	0.037818
1060	0.110113
1096	0.031465
1325	0.083411
1377	0.028539
1480	0.109368
1496	0.103670
1592	0.096574
1619	0.094395
1659	0.072569
2066	0.038747
2349	0.101395
2383	0.038162
2511	0.057376
2710	0.088703
2852	0.063633
3093	0.116361
3337	0.054193
3488	0.073145
3496	0.057889
3531	0.078405
3715	0.062350
3805	0.106213
3823	0.071462
3959	0.048472
4106	0.116361
4113	0.058179
4124	0.067080
4222	0.070929
4254	0.034457
4285	0.089937
4344	0.155347
4384	0.057603
4520	0.020033
4642	0.068919
4654	0.035049
4678	0.023721
4709	0.053013
4826	0.035049
4999	0.116361
5265	0.088703
5311	0.008085
5321	0.272292
5584	0.010736
5755	0.028466
5923	0.080763
5928	0.153931
5929	0.083411
5930	0.052559
6049	0.028466
6164	0.047032
6232	0.047740
6256	0.147614
6264	0.044880
6645	0.020132
6786	0.109368
6856	0.016797
6911	0.039106
6920	0.126140
7005	0.087536
7051	0.055700
7165	0.045683
7337	0.109488
7573	0.069898
7700	0.029369
7716	0.092640
7745	0.120280
7885	0.030963
8041	0.063439
8081	0.112425
8090	0.041261
8120	0.088703
8221	0.126878
8436	0.097458
8448	0.049230
8464	0.034199
8537	0.026705
8598	0.045847
8623	0.055442
8680	0.079188
8964	0.069900
9065	0.082492
9077	0.074971
9128	0.032153
9137	0.078405
9242	0.040093
9260	0.119378
9373	0.073737
9407	0.144861
9525	0.077673
9631	0.035351
9655	0.069404
9920	0.047384
9935	0.042495
9966	0.057889
10016	0.097458
10040	0.021690
10471	0.044070
10474	0.032241
10480	0.121179
10569	0.108387
10578	0.121179
10581	0.026486
10704	0.041261
10734	0.045038
10959	0.074960
11213	0.035864
11300	0.092640
11332	0.053013
11369	0.078405
11586	0.106213
11816	0.046179
12034	0.073145
12073	0.070408
12255	0.050419
12371	0.059356
12626	0.014135
12839	0.072569
12964	0.051384
12968	0.095730
12977	0.033046
13080	0.059669
13098	0.141857
13244	0.026419
13285	0.037705
13320	0.035555
13478	0.103670
13598	0.017230
13681	0.098322
13682	0.231735
